Price,Date,Close,High,Low,Open,Volume
624,2023-06-01,52797.81640625,53191.41218543081,52404.22450501295,53191.41218543081,1255867
625,2023-06-02,53360.09765625,53416.32396554556,52460.453439857534,52797.81905151872,2573883
626,2023-06-05,55103.15625,55496.75205138787,53528.780800336455,53528.780800336455,2406153
627,2023-06-06,55665.43359375,55665.43359375,54259.74098291566,55103.15499823871,1376280
628,2023-06-07,54540.87890625,55665.43219099013,54540.87890625,55665.43219099013,1402940
629,2023-06-08,56227.70703125,57183.581397446746,54540.87903900585,54540.87903900585,2400149
630,2023-06-09,56508.84765625,57352.26555022107,55665.43364022282,56227.708358259646,1891128
631,2023-06-12,56789.98828125,57071.12758580973,55159.38651951394,56171.48336239619,803522
632,2023-06-13,57633.3984375,57914.53772313536,56059.023091474446,56227.70588726692,1648887
633,2023-06-14,57689.62890625,58476.8165831497,57071.12402597568,57577.17241585183,1519293
634,2023-06-15,58195.6796875,58308.13618251923,57127.352679677104,57633.40109034777,1866410
635,2023-06-16,59039.09375,59826.28533778689,58026.99692789211,58589.275525470206,2386730
636,2023-06-19,57183.58203125,58533.0444400023,57183.58203125,58251.90514553095,2145023
637,2023-06-20,56171.48046875,56846.21166257972,56115.25416191212,56846.21166257972,3442043
638,2023-06-21,56227.70703125,56508.84632260529,56059.02423202559,56059.02423202559,2194456
639,2023-06-22,56452.62109375,57352.2652920925,56171.481797024986,57352.2652920925,1582855
640,2023-06-23,56171.48046875,56452.61975882698,55946.57136345469,56452.61975882698,1400469
641,2023-06-26,56227.70703125,56733.75930686704,55721.65863357676,55721.65863357676,1425187
642,2023-06-27,56227.70703125,56789.98561396058,56059.02423202559,56227.70703125,1263988
643,2023-06-28,56846.2109375,57464.71581660274,56115.25344615584,56227.70605839726,1578796
644,2023-06-29,57296.03515625,57914.54005841014,56846.21305668409,57239.808848033215,1761356
645,2023-06-30,56227.70703125,57239.80770454029,56227.70703125,56846.21192105412,1111617
646,2023-07-03,56227.70703125,56677.529121829706,56115.25441706292,56227.70703125,865317
647,2023-07-04,56227.70703125,57296.03401163383,56171.48072415646,56621.30281473617,1387226
648,2023-07-05,57352.265625,57633.40104541303,56396.39123499769,56789.98702828616,4437645
649,2023-07-06,56621.3046875,57464.7187115182,56508.8481916496,57408.49240256496,3264585
650,2023-07-07,59039.09375,59039.09375,56452.621508206124,56508.84781678638,3662374
651,2023-07-10,57745.85546875,58982.86523478843,57520.94636489927,58982.86523478843,3077608
652,2023-07-11,57914.5390625,59039.09235310478,57239.807863725895,57239.807863725895,4400921
653,2023-07-12,58476.81640625,58757.95569242307,57745.85503778876,57745.85503778876,1537478
654,2023-07-13,58982.8671875,59039.09349583819,58308.1359756661,59039.09349583819,2972025
655,2023-07-14,59039.09375,59039.09375,58476.819030365805,58982.86744141975,2310633
656,2023-07-17,58926.640625,59039.09324119137,58589.27502053818,59039.09324119137,2280443
657,2023-07-18,58645.5,59039.09190364055,58645.5,58982.86559681869,1458381
658,2023-07-19,59882.51171875,60219.87732652709,58814.18470882663,58814.18470882663,4566181
659,2023-07-20,59039.09375,59826.28533778689,58251.90604015701,59320.23304878905,1553025
660,2023-07-21,59039.09375,59039.09375,58476.819030365805,59039.09375,3219433
661,2023-07-24,58814.18359375,59264.0056882391,58757.9572861678,59095.32288754867,1613261
662,2023-07-25,60893.31640625,61424.55593469964,59963.64529249121,60030.05120303338,3849337
663,2023-07-26,62022.203125,62022.203125,61026.12607257302,61026.12607257302,2597439
664,2023-07-27,61557.36328125,62221.41462434824,61424.55533939664,62221.41462434824,1431030
665,2023-07-28,61756.58203125,61756.58203125,60959.72273313317,61557.36429826288,1805837
666,2023-07-31,60826.91015625,61889.38920721987,60826.91015625,61756.58126482056,2195141
667,2023-08-01,60561.2890625,61623.76809011886,60561.2890625,60826.90881940472,2052062
668,2023-08-02,60760.50390625,60760.50390625,60428.48211313676,60561.29005479329,1578452
669,2023-08-03,60162.86328125,60760.50484485223,60096.45737042402,60760.50484485223,1451520
