Date,Close,High,Low,Open,Volume
2023-01-03,12563.7158203125,12563.7158203125,11785.635059127391,11785.635059127391,7573600
2023-01-04,12495.0615234375,12723.908804086535,12472.176795372596,12563.715707632213,13184600
2023-01-05,12655.2548828125,12723.909068433544,12426.40759740902,12495.061783030063,15675600
2023-01-06,12678.1396484375,12998.525848939533,12495.061819579198,12563.716005401062,15721800
2023-01-09,12701.0244140625,12792.563328758446,12632.37022804054,12723.909142736487,14975400
2023-01-10,12563.7158203125,12815.447831284151,12495.061635502048,12701.0241899334,5392400
2023-01-11,12655.2548828125,12815.447982594937,12495.061783030063,12563.715968651108,6887600
2023-01-12,12746.7939453125,12792.563402925827,12632.370301279174,12655.255030085838,7054400
2023-01-13,12723.9091796875,12952.756467091953,12723.9091796875,12769.67863716839,5620400
2023-01-16,12861.2177734375,12861.2177734375,12655.255211229429,12746.794127766349,30109200
2023-01-17,13273.142578125,13410.450949622844,12975.641106546336,12998.52583512931,16847800
2023-01-18,13318.912109375,13341.796838085264,13227.373194533937,13318.912109375,20182580
2023-01-19,13318.912109375,13410.451024216063,13204.488465823668,13204.488465823668,20606800
2023-01-27,13296.02734375,13593.528816157488,13273.14261510327,13433.33571563038,11078400
2023-01-30,13135.833984375,13296.027081745427,13067.179799787677,13296.027081745427,12916000
2023-01-31,13456.2197265625,13456.2197265625,12838.332086057078,13112.9488151706,12738800
2023-02-01,12906.9873046875,13501.990265541888,12815.448387632978,13501.990265541888,15829000
2023-02-02,12815.4482421875,12998.526074218751,12632.37041015625,12906.987158203126,9430400
2023-02-03,12403.5234375,12906.987488468634,12403.5234375,12861.218029289666,15846000
2023-02-06,12792.5625,12815.447227191413,12380.637410554562,12403.522137745977,12806600
2023-02-07,12540.8310546875,12838.332521313298,12540.8310546875,12792.56306490933,13076800
2023-02-08,12746.7939453125,12792.563402925827,12540.831386052512,12586.600843665845,17218000
2023-02-09,12495.0615234375,12746.79353215144,12495.0615234375,12678.13934795673,7564600
2023-02-10,12334.869140625,12586.601163903062,12311.984411236086,12517.946975736317,9058000
2023-02-13,12174.67578125,12311.984154722744,12060.25213668938,12289.09942581062,8082400
2023-02-14,12289.0986328125,12540.830634601954,12128.905540764665,12128.905540764665,6559600
2023-02-15,12540.8310546875,12632.36996749544,12174.675403455749,12289.09904446567,5266000
2023-02-16,12769.6787109375,12769.6787109375,12449.29250672043,12632.370337701614,4665400
2023-02-17,12723.9091796875,12723.9091796875,12586.600807244828,12701.024450947054,5626600
2023-02-20,13090.064453125,13090.064453125,12678.13934795673,12701.024076021637,11999800
2023-02-21,12998.5263671875,13250.25839190416,12975.641637667804,13090.065285266286,14241800
2023-02-22,12586.6005859375,12884.102054332388,12586.6005859375,12838.33259765625,38130000
2023-02-23,12792.5625,12792.5625,12357.752683363147,12586.59995527728,11830800
2023-02-24,12472.1767578125,12792.562949756308,12426.407301820527,12792.562949756308,11542600
2023-02-27,12357.7529296875,12449.291840277778,12174.675108506945,12449.291840277778,13904000
2023-02-28,12128.90625,12449.292452830188,12128.90625,12357.753537735847,7158200
2023-03-01,12495.0615234375,12517.946251502402,11922.943321814902,11991.597506009615,4408400
2023-03-02,12449.2919921875,12632.369815602022,12357.75308048024,12609.485087675206,3519800
2023-03-03,12266.21484375,12517.946864797108,12151.791197819495,12449.292677238804,8150800
2023-03-06,12449.2919921875,12563.715631821577,12220.444712919349,12357.75308048024,14267800
2023-03-07,12403.5234375,12586.601274215867,12380.638707910515,12449.292896678966,4788600
2023-03-08,12495.0615234375,12540.830979567309,12266.21424278846,12311.983698918268,5330600
2023-03-09,12723.9091796875,12746.793908427944,12449.292434802155,12586.600807244828,9631400
2023-03-10,12426.408203125,12632.370770027625,12357.754014157455,12586.601310715929,4259600
2023-03-13,12243.330078125,12334.868994596962,12151.791161653038,12151.791161653038,88693800
2023-03-14,12037.3671875,12243.329743940114,12037.3671875,12197.56028695342,8083000
2023-03-15,12449.2919921875,12540.83090389476,12266.214168772978,12266.214168772978,9535600
2023-03-16,12243.330078125,12334.868994596962,12060.252245181076,12311.984265478972,16461200
2023-03-17,12197.5595703125,12403.522114651736,12174.674843163695,12266.213751758913,8129600
2023-03-20,12014.4833984375,12174.676510416666,12014.4833984375,12128.90704985119,28709600
2023-03-21,12060.251953125,12174.675595944023,11945.828310305977,12128.906138816414,13403600
2023-03-22,11991.59765625,12174.675483062978,11991.59765625,12106.02129800811,19895200
2023-03-23,11991.59765625,12060.251841304867,11831.404557788646,11991.59765625,7038000
2023-03-24,12106.0205078125,12220.444142101844,12037.366327238897,12083.135780954632,10771680
2023-03-27,12128.90625,12220.44516509434,12060.252063679243,12106.021521226416,4260200
2023-03-28,12609.486328125,12678.140518659256,12220.44591509755,12220.44591509755,19240000
2023-03-29,12815.4482421875,12952.756616210938,12586.600952148438,12609.485681152344,13254800
2023-03-30,12678.1396484375,13044.295306154108,12678.1396484375,12975.641120332244,10726666
2023-03-31,12975.640625,12998.525352733686,12723.908619929452,12723.908619929452,22740600
2023-04-03,13410.451171875,13433.335900837244,13135.834424328072,13273.142798101537,31328400
2023-04-04,13501.990234375,13501.990234375,13296.027671477754,13410.45131753178,21013600
2023-04-05,13501.990234375,13547.75969279661,13364.68185911017,13456.22077595339,10059600
2023-04-06,13547.7587890625,13822.375521273229,13433.335150641364,13433.335150641364,16212800
2023-04-07,13524.875,13593.529187817256,13456.22081218274,13570.64445854484,10318400
