Actual,Prediction,Date
26400.0,27625.586,2025-09-16
26150.0,27515.768,2025-09-17
25550.0,27403.525,2025-09-18
25350.0,27261.934,2025-09-19
25150.0,27099.518,2025-09-22
25350.0,26920.34,2025-09-23
26000.0,26751.18,2025-09-24
25650.0,26633.35,2025-09-25
25650.0,26531.818,2025-09-26
25600.0,26448.586,2025-09-29
25500.0,26378.832,2025-09-30
25800.0,26315.938,2025-10-01
25750.0,26278.557,2025-10-02
25650.0,26255.418,2025-10-03
26800.0,26237.486,2025-10-06
26450.0,26291.111,2025-10-07
26750.0,26363.291,2025-10-08
26950.0,26464.037,2025-10-09
26950.0,26588.842,2025-10-10
26750.0,26722.357,2025-10-13
26300.0,26843.416,2025-10-14
26300.0,26925.047,2025-10-15
26300.0,26978.729,2025-10-16
25750.0,27010.807,2025-10-17
24800.0,26994.8,2025-10-20
25000.0,26895.523,2025-10-21
25100.0,26762.488,2025-10-22
24950.0,26617.564,2025-10-23
25000.0,26462.486,2025-10-24
25000.0,26312.193,2025-10-27
25400.0,26172.348,2025-10-28
25400.0,26069.672,2025-10-29
25100.0,25994.887,2025-10-30
25500.0,25925.344,2025-10-31
25450.0,25887.607,2025-11-03
26000.0,25867.816,2025-11-04
25600.0,25893.174,2025-11-05
25300.0,25921.367,2025-11-06
24900.0,25934.969,2025-11-07
24800.0,25916.389,2025-11-10
24850.0,25873.242,2025-11-11
25200.0,25818.871,2025-11-12
25100.0,25779.514,2025-11-13
24950.0,25744.535,2025-11-14
25150.0,25706.332,2025-11-17
25100.0,25680.348,2025-11-18
24900.0,25659.846,2025-11-19
24800.0,25632.787,2025-11-20
24700.0,25597.947,2025-11-21
24600.0,25554.242,2025-11-24
24200.0,25501.395,2025-11-25
24200.0,25422.332,2025-11-26
24350.0,25331.643,2025-11-27
24250.0,25246.11,2025-11-28
24000.0,25161.66,2025-12-01
23950.0,25068.316,2025-12-02
24450.0,24972.05,2025-12-03
24900.0,24907.572,2025-12-04
24350.0,24891.023,2025-12-05
24200.0,24873.744,2025-12-08
24100.0,24851.227,2025-12-09
24100.0,24821.07,2025-12-10
23950.0,24787.525,2025-12-11
23500.0,24744.533,2025-12-12
23550.0,24672.064,2025-12-15
24000.0,24588.44,2025-12-16
24000.0,24526.898,2025-12-17
23850.0,24481.023,2025-12-18
23900.0,24439.605,2025-12-19
