Actual,Prediction,Date
24500.96875,24983.883,2025-04-22
25426.453125,24935.582,2025-04-23
25085.484375,24926.96,2025-04-24
25280.322265625,24921.9,2025-04-25
25329.033203125,24933.25,2025-04-28
25621.291015625,24957.828,2025-04-29
25816.12890625,25008.277,2025-05-05
26157.09765625,25084.94,2025-05-06
26303.2265625,25196.033,2025-05-07
26692.904296875,25332.74,2025-05-08
26887.7421875,25503.363,2025-05-09
28641.291015625,25698.793,2025-05-12
28641.291015625,26008.928,2025-05-13
29079.677734375,26374.744,2025-05-14
29128.388671875,26786.748,2025-05-15
28690.0,27209.416,2025-05-16
28738.7109375,27588.443,2025-05-19
30151.291015625,27921.342,2025-05-20
30102.58203125,28293.078,2025-05-21
29712.904296875,28661.957,2025-05-22
29371.935546875,28984.262,2025-05-23
29566.775390625,29236.68,2025-05-26
29810.32421875,29440.736,2025-05-27
29712.904296875,29614.531,2025-05-28
30005.162109375,29750.281,2025-05-29
29664.193359375,29871.197,2025-05-30
30053.87109375,29951.637,2025-06-02
30784.517578125,30025.871,2025-06-03
30540.96875,30135.984,2025-06-04
30297.419921875,30245.027,2025-06-05
29518.064453125,30332.484,2025-06-06
28982.259765625,30350.95,2025-06-09
29274.517578125,30289.912,2025-06-10
29323.2265625,30198.322,2025-06-11
30151.291015625,30091.885,2025-06-12
30394.83984375,30033.361,2025-06-13
31466.453125,30022.078,2025-06-16
31563.87109375,30110.885,2025-06-17
31953.548828125,30264.273,2025-06-18
33122.58203125,30477.9,2025-06-19
33122.58203125,30793.924,2025-06-20
32927.7421875,31156.902,2025-06-23
33122.58203125,31519.611,2025-06-24
32927.7421875,31875.514,2025-06-25
33171.29296875,32193.238,2025-06-26
33073.87109375,32483.85,2025-06-27
33317.421875,32732.01,2025-06-30
33512.2578125,32953.56,2025-07-01
34096.7734375,33155.766,2025-07-02
33950.64453125,33370.312,2025-07-03
34048.06640625,33568.438,2025-07-04
34389.03125,33751.32,2025-07-07
34389.03125,33934.848,2025-07-08
33999.35546875,34106.2,2025-07-09
33901.9375,34233.88,2025-07-10
34048.06640625,34320.0,2025-07-11
34194.1953125,34382.39,2025-07-14
33901.9375,34433.15,2025-07-15
34340.32421875,34452.67,2025-07-16
34242.90234375,34479.582,2025-07-17
35314.515625,34500.53,2025-07-18
34535.1640625,34586.29,2025-07-21
34437.7421875,34653.945,2025-07-22
34096.7734375,34703.53,2025-07-23
34145.484375,34715.766,2025-07-24
34291.61328125,34706.47,2025-07-25
34681.29296875,34691.715,2025-07-28
33025.1640625,34698.227,2025-07-29
33609.6796875,34608.203,2025-07-30
33122.58203125,34505.008,2025-07-31
33220.0,34362.633,2025-08-01
34437.7421875,34210.312,2025-08-04
36045.1640625,34137.957,2025-08-05
37214.1953125,34221.58,2025-08-06
37409.03125,34474.24,2025-08-07
36873.2265625,34835.055,2025-08-08
36775.80859375,35214.324,2025-08-11
36727.09765625,35582.19,2025-08-12
36532.2578125,35919.09,2025-08-13
37409.03125,36203.582,2025-08-14
36629.6796875,36495.195,2025-08-15
36970.64453125,36718.8,2025-08-18
38188.38671875,36911.023,2025-08-19
39454.83984375,37148.82,2025-08-20
40477.7421875,37479.785,2025-08-21
37993.55078125,37915.04,2025-08-22
36580.96875,38227.227,2025-08-25
38334.515625,38361.395,2025-08-26
37944.83984375,38490.965,2025-08-27
38578.06640625,38571.55,2025-08-28
38578.06640625,38658.266,2025-08-29
38578.06640625,38739.543,2025-09-03
38578.06640625,38812.16,2025-09-04
38480.64453125,38874.27,2025-09-05
37019.35546875,38918.727,2025-09-08
37506.453125,38852.3,2025-09-09
37993.55078125,38755.574,2025-09-10
37701.29296875,38671.24,2025-09-11
37603.87109375,38576.72,2025-09-12
37993.55078125,38475.633,2025-09-15
38334.515625,38401.453,2025-09-16
37701.29296875,38369.0,2025-09-17
37798.7109375,38322.465,2025-09-18
37409.03125,38279.438,2025-09-19
36532.2578125,38214.496,2025-09-22
36532.2578125,38082.855,2025-09-23
37798.7109375,37918.684,2025-09-24
37896.12890625,37824.24,2025-09-25
37701.29296875,37780.18,2025-09-26
37750.0,37759.723,2025-09-29
37850.0,37761.234,2025-09-30
38550.0,37783.957,2025-10-01
38850.0,37865.297,2025-10-02
38350.0,37997.29,2025-10-03
39400.0,38122.027,2025-10-06
39000.0,38307.656,2025-10-07
38600.0,38491.273,2025-10-08
38950.0,38640.098,2025-10-09
39350.0,38782.94,2025-10-10
41300.0,38937.727,2025-10-13
40800.0,39217.758,2025-10-14
40800.0,39521.375,2025-10-15
41250.0,39828.297,2025-10-16
40650.0,40150.227,2025-10-17
37850.0,40421.66,2025-10-20
37650.0,40462.86,2025-10-21
38000.0,40351.83,2025-10-22
37250.0,40166.918,2025-10-23
36100.0,39888.977,2025-10-24
35050.0,39491.883,2025-10-27
36000.0,38973.785,2025-10-28
36400.0,38470.918,2025-10-29
35700.0,38024.566,2025-10-30
35100.0,37591.895,2025-10-31
33600.0,37157.418,2025-11-03
35000.0,36650.777,2025-11-04
34100.0,36223.934,2025-11-05
33600.0,35806.336,2025-11-06
33000.0,35391.258,2025-11-07
33400.0,34964.83,2025-11-10
33650.0,34583.97,2025-11-11
35000.0,34269.207,2025-11-12
35100.0,34103.68,2025-11-13
35100.0,34048.51,2025-11-14
35150.0,34072.504,2025-11-17
35350.0,34153.66,2025-11-18
34800.0,34283.234,2025-11-19
34600.0,34402.703,2025-11-20
34250.0,34499.777,2025-11-21
33950.0,34555.355,2025-11-24
33450.0,34562.74,2025-11-25
33850.0,34506.63,2025-11-26
33750.0,34439.934,2025-11-27
33750.0,34361.293,2025-11-28
33200.0,34280.04,2025-12-01
34200.0,34166.152,2025-12-02
34900.0,34104.95,2025-12-03
35400.0,34123.035,2025-12-04
34700.0,34223.305,2025-12-05
34200.0,34326.258,2025-12-08
33800.0,34397.242,2025-12-09
33700.0,34419.336,2025-12-10
33400.0,34402.57,2025-12-11
32000.0,34341.16,2025-12-12
32000.0,34163.164,2025-12-15
33000.0,33923.656,2025-12-16
32600.0,33720.145,2025-12-17
33000.0,33520.566,2025-12-18
33600.0,33363.285,2025-12-19
